date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:29	73087/73087	---M-Z	200	added ('OK')	text/html	etag:W/%227c9c30098c03480d6214a6fe0f96a499%22	https://circleci.com/	C:/My%20Web%20Sites/circleci/circleci.com/index.html	(from )
14:37:38	237/237	---M--	200	added ('OK')	text/plain	etag:%220744c12a119a5591d4f719df6dd7683b%22	https://circleci.com/robots.txt		(from )
14:37:41	69685/69685	---M-Z	200	added ('OK')	application/javascript	etag:%2201fa17c1e3bd61:0%22	https://consent.cookiebot.com/uc.js	C:/My%20Web%20Sites/circleci/consent.cookiebot.com/uc.js	(from https://circleci.com/)
14:37:42	433440/433440	---M-Z	200	added ('OK')	text/javascript	etag:%221af9ef956fe0ca0a903666fddf1b463c%22	https://cdn.optimizely.com/js/8188917468.js	C:/My%20Web%20Sites/circleci/cdn.optimizely.com/js/8188917468.js	(from https://circleci.com/)
14:37:50	3158/3158	---M--	200	added ('OK')	image/png	etag:%22ae782d6339f660e1c51fe68f58d7f0bb%22	https://d3r49iyjzglexf.cloudfront.net/apple-touch-icon-f1ef1fb6f37fe36fdacd2dfdc11fb2edf1720083a9aa8648eeac81f0a69e8da8.png	C:/My%20Web%20Sites/circleci/d3r49iyjzglexf.cloudfront.net/apple-touch-icon-f1ef1fb6f37fe36fdacd2dfdc11fb2edf1720083a9aa8648eeac81f0a69e8da8.png	(from https://circleci.com/)
14:37:50	16599/16599	---M--	200	added ('OK')	image/png	etag:%22b0a3962c7ec90ae60cb31f99a3fc37b5%22	https://d3r49iyjzglexf.cloudfront.net/android-chrome-512x512-636549fcf54150d3184aa6e8395d79ca9bcdc9278210e947ce093372cc2004a4.png	C:/My%20Web%20Sites/circleci/d3r49iyjzglexf.cloudfront.net/android-chrome-512x512-636549fcf54150d3184aa6e8395d79ca9bcdc9278210e947ce093372cc2004a4.png	(from https://circleci.com/)
14:37:50	7440/7440	---M--	200	added ('OK')	image/png	etag:%224b4b8e31a8e09d0c50661d56be7abe09%22	https://d3r49iyjzglexf.cloudfront.net/android-chrome-192x192-daa316a62fc466bc7bbff9118d8bd8a358c4b1d934629eedc0e5b87c9bf6a6f0.png	C:/My%20Web%20Sites/circleci/d3r49iyjzglexf.cloudfront.net/android-chrome-192x192-daa316a62fc466bc7bbff9118d8bd8a358c4b1d934629eedc0e5b87c9bf6a6f0.png	(from https://circleci.com/)
14:37:51	639/639	---M--	200	added ('OK')	image/png	etag:%22b99b3f32c912ffa11871fca4c1bc9794%22	https://d3r49iyjzglexf.cloudfront.net/favicon-32x32-86c07d561af62a6d412c5465d401ebf50a8f304d97c165e30feb71868b891c7c.png	C:/My%20Web%20Sites/circleci/d3r49iyjzglexf.cloudfront.net/favicon-32x32-86c07d561af62a6d412c5465d401ebf50a8f304d97c165e30feb71868b891c7c.png	(from https://circleci.com/)
14:37:51	329/329	---M--	200	added ('OK')	image/png	etag:%223753a156e703f3623e04c22092c57784%22	https://d3r49iyjzglexf.cloudfront.net/favicon-16x16-2f395f301d4ee767c0016c98f97561dc2ec4ddbae39cc895c9840a22467df08a.png	C:/My%20Web%20Sites/circleci/d3r49iyjzglexf.cloudfront.net/favicon-16x16-2f395f301d4ee767c0016c98f97561dc2ec4ddbae39cc895c9840a22467df08a.png	(from https://circleci.com/)
14:37:51	33118/33118	---MCZ	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202019%2021:32:30%20GMT	https://d3r49iyjzglexf.cloudfront.net/vendor-9130b6026c6317f2286994e037f189b0850a60286866eeb5039e622081496148.css	C:/My%20Web%20Sites/circleci/d3r49iyjzglexf.cloudfront.net/vendor-9130b6026c6317f2286994e037f189b0850a60286866eeb5039e622081496148.css	(from https://circleci.com/)
14:37:51	2877/2877	---MCZ	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202019%2021:32:30%20GMT	https://d3r49iyjzglexf.cloudfront.net/vendors/lity-b8b6faa63fb76d33ead3adfe0a9148e43ea51ca7c3a5faa008b88ab2ffe321ef.css	C:/My%20Web%20Sites/circleci/d3r49iyjzglexf.cloudfront.net/vendors/lity-b8b6faa63fb76d33ead3adfe0a9148e43ea51ca7c3a5faa008b88ab2ffe321ef.css	(from https://circleci.com/)
